year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
1999- 9	0	0	0	0	0	0	0	0	0	0	0	4.2	0	0	0.2	0	0	0	14.2	1.1	8.3	0.5	0	1.1	0	0.8	1.2	16.3	0.3	0	0	1.55483871			
1999-10	7.8	1.2	2.1	2.8	12.6	0	4	0	1	8	0.7	29.7	0	9.9	0	0	0	0	0	1.2	1.7	0	0	35.6	26	24.2	10.3	0	0	0	0	5.767741935			
1999-11	0	0	0	0	34.7	20	10.2	30	13.7	0	0	10	5.6	0	0	15.8	19.4	0	48.4	10	2.7	33.3	16	0	0.3	0	0.5	0	6.1	22.1	0	9.638709677			
1999-12	31.9	5.3	0	1.8	0	0	2.1	4.1	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	6.3	2.1	0	0	0	0	0	0	0	1.870967742			
2000- 1	0	0	2	0	6	0.3	0	30	7.5	0	0	0	6.7	20	10	25.1	0	0	0	0	0	0	0	0	0	0	0	10	24.2	0	0	4.574193548			
2000- 2	6.2	27.2	25	30	12	6	48	0	0	0	0	0	0	0	0	0	0	0	15	23.5	56.4	29.6	0	0	8.6	0	105	0	4.5	0	0	12.80645161			
2000- 3	0	0	3.2	0	0	24.2	1.8	0.5	5.2	120	63	22.5	0	0	2.7	1.4	13.4	0	0	0	0	0	20.4	10	5	10	1.3	0	0	0	0	9.825806452			
2000- 4	0	0	1.5	3.7	1.8	0	42.7	10	4.6	8.2	0	0	0	0	0	0	0	0	0	0	1.1	1.6	0	0	0	0	0	0	0	0	0	2.425806452			
2000- 5	9	18.6	2.7	0	0	0	0	0	72.2	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	6.8	1	3.667741935			
2000- 6	0	0	0	0	0.2	1.6	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0.64516129			
2000- 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7	0	2.5	0.296774194			
2000- 8	5.5	0.2	0	0	0	0	0	0	0	0	0	40	1.4	31.3	0	0	0	0	0	0	0	0	0	4.4	0	1.2	0	0	0	0	0	2.709677419			
2000- 9	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	0	0	15.5	0	1.7	0	0	4.3	5.1	9.4	1.7	0	0	0.8	0	3.4	0	1.477419355			
